instrument_id,instrument_number,timestamp,open,high,low,close,volume
6618881,AFFORDABLE,2026-01-20T13:15:00+05:30,1404.2,1406.4,1399.1,1404.4,1473044
6618881,AFFORDABLE,2026-01-20T14:15:00+05:30,1404.5,1407.9,1392,1393.6,3134234
6618881,AFFORDABLE,2026-01-20T15:15:00+05:30,1393.6,1394.9,1390,1392.4,1274798
6618881,AFFORDABLE,2026-01-21T09:15:00+05:30,1389.5,1398.2,1384.2,1390.6,2456275
6618881,AFFORDABLE,2026-01-21T10:15:00+05:30,1390.3,1391.1,1373,1384,2319364
6618881,AFFORDABLE,2026-01-21T11:15:00+05:30,1384,1392.7,1382,1392.5,1090634
6618881,AFFORDABLE,2026-01-21T12:15:00+05:30,1392.4,1412,1391.2,1407.8,2509461
6618881,AFFORDABLE,2026-01-21T13:15:00+05:30,1407.8,1411.4,1402.7,1407.5,3495915
6618881,AFFORDABLE,2026-01-21T14:15:00+05:30,1407.5,1412.9,1398.5,1405.3,3990526
6618881,AFFORDABLE,2026-01-21T15:15:00+05:30,1405.3,1408.4,1405.3,1407.5,1331188
6618881,AFFORDABLE,2026-01-22T09:15:00+05:30,1410.1,1419.5,1406.8,1416.2,1457846
6618881,AFFORDABLE,2026-01-22T10:15:00+05:30,1416.2,1416.8,1398.7,1400.1,1409161
6618881,AFFORDABLE,2026-01-22T11:15:00+05:30,1400.2,1405.5,1395,1402.8,1673272
6618881,AFFORDABLE,2026-01-22T12:15:00+05:30,1403,1406.2,1398.1,1398.5,2647784
6618881,AFFORDABLE,2026-01-22T13:15:00+05:30,1398.5,1402.8,1396.1,1398,1733149
6618881,AFFORDABLE,2026-01-22T14:15:00+05:30,1398.1,1405,1397.6,1401.6,4164476
6618881,AFFORDABLE,2026-01-22T15:15:00+05:30,1401.5,1405.4,1401.4,1404.3,1787930
6618881,AFFORDABLE,2026-01-23T09:15:00+05:30,1401.8,1407,1399.1,1402.4,1503046
6618881,AFFORDABLE,2026-01-23T10:15:00+05:30,1402.2,1403.5,1398.6,1399.7,653708
6618881,AFFORDABLE,2026-01-23T11:15:00+05:30,1399.6,1400.3,1387.1,1388.4,935165
6618881,AFFORDABLE,2026-01-23T12:15:00+05:30,1388.5,1393.9,1387.7,1390.5,1468517
6618881,AFFORDABLE,2026-01-23T13:15:00+05:30,1390.4,1390.9,1381,1387,1350780
6618881,AFFORDABLE,2026-01-23T14:15:00+05:30,1387,1390.5,1384.3,1384.9,2998360
6618881,AFFORDABLE,2026-01-23T15:15:00+05:30,1384.9,1387.8,1384.9,1387,824217
6618881,AFFORDABLE,2026-01-27T09:15:00+05:30,1380,1389.2,1368,1383.4,4935821
6618881,AFFORDABLE,2026-01-27T10:15:00+05:30,1383.6,1391.6,1375.3,1380.2,1603204
6618881,AFFORDABLE,2026-01-27T11:15:00+05:30,1380.5,1391.5,1379.4,1389.7,2341867
6618881,AFFORDABLE,2026-01-27T12:15:00+05:30,1389.6,1390.5,1382.6,1385,2640900
6618881,AFFORDABLE,2026-01-27T13:15:00+05:30,1385.1,1388.3,1380.2,1381.2,3575439
6618881,AFFORDABLE,2026-01-27T14:15:00+05:30,1381.3,1382.9,1376.4,1380.7,7612419
6618881,AFFORDABLE,2026-01-27T15:15:00+05:30,1380.7,1385,1379.7,1384,3052173
6618881,AFFORDABLE,2026-01-28T09:15:00+05:30,1385,1409.9,1384.9,1395.6,2464918
6618881,AFFORDABLE,2026-01-28T10:15:00+05:30,1395.6,1402.6,1393.8,1401.9,1082464
6618881,AFFORDABLE,2026-01-28T11:15:00+05:30,1401.9,1402.5,1398,1400,1318619
6618881,AFFORDABLE,2026-01-28T12:15:00+05:30,1399.9,1400.7,1393.7,1395,1357511
6618881,AFFORDABLE,2026-01-28T13:15:00+05:30,1395.4,1397,1389.1,1392,1338493
6618881,AFFORDABLE,2026-01-28T14:15:00+05:30,1391.8,1396.3,1390.1,1396.1,2299025
6618881,AFFORDABLE,2026-01-28T15:15:00+05:30,1396.3,1398.9,1396.1,1398.5,1147732
